Unit / Lot,#,Property,Prop Short Name,Property_Unit,Base_unit,"Base Property
(Other = Park is unknown)",Current LHS Property or Sold by LHS,LHS Rental,Rental List,Has_Commissions,Total Bank GL Balance (Per Unit BS Report),MCO Owner Matches Property Name?,MCO - Owner,Duplicate MCO (2nd version),MCO Date and Inv Ref,Lot / Unit, Builder Invoice Amount , Builder Invoice Date , Builder Ship Date , Bill To , Builder ,Lot/Unit on Cavco/Champion/etc. does not match, Sale Amount (pre-tax) , Sale Deposited to: , Use of LHS Funds: ,Description,Property,Date," GL Rental Income (Credits to M-Lots, Daily Guest Fees, etc.) ", GL - Credits to Unearned Rent/Prepaid) , GL Rental Deposits (Deposit to cash accounts) ,Total Sale Price per PEM Sales Contract,Billed (e.g. SBR),Memo / Invoice Number,Supported / Unsupported / Insufficient,Comments,% of Sales Price, ,Address,Current Occupant,Market Rental,Total,Cavco/Champion/CMH,SBR,All Others,1) MCO does not match,2) MCO indicates Home Sale Entity as Owner,3) Commission recorded but no sale identified,4) No MCO available
1258,981,Leisure Home Sales,LHS,LHS_1258,Other_1258,Other,Y,,No,No,  (60.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1259,982,Leisure Home Sales,LHS,LHS_1259,Other_1259,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1260,983,Leisure Home Sales,LHS,LHS_1260,Other_1260,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1261,984,Leisure Home Sales,LHS,LHS_1261,Other_1261,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1262,985,Leisure Home Sales,LHS,LHS_1262,Other_1262,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1263,986,Leisure Home Sales,LHS,LHS_1263,Other_1263,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1264,987,Leisure Home Sales,LHS,LHS_1264,Other_1264,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1265,988,Leisure Home Sales,LHS,LHS_1265,Other_1265,Other,Y,,No,No,  (60.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1266,989,Leisure Home Sales,LHS,LHS_1266,Other_1266,Other,Y,,No,No,"  (12,531.43)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,"  9,876.43 ",  -   ,  -   ,"  9,876.43 ",,,,x
1267,990,Leisure Home Sales,LHS,LHS_1267,Other_1267,Other,Y,,No,No,"  (2,694.32)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,  350.00 ,  -   ,  -   ,  350.00 ,,,,x
1268,991,Leisure Home Sales,LHS,LHS_1268,Other_1268,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1269,992,Leisure Home Sales,LHS,LHS_1269,Other_1269,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1270,993,Leisure Home Sales,LHS,LHS_1270,Other_1270,Other,Y,,No,No,"  (1,200.00)",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1271,994,Leisure Home Sales,LHS,LHS_1271,Other_1271,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1272,995,Leisure Home Sales,LHS,LHS_1272,Other_1272,Other,Y,,No,No,"  (73,349.15)",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
2337,1030,Leisure Home Sales,LHS,LHS_2337,Other_2337,Other,Y,,No,No,"  2,000.00 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,,,,,,,,x
3981,1092,Leisure Home Sales,LHS,LHS_3981,Other_3981,Other,Y,,No,No,"  3,000.00 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,  -   ,,,,,Manager House,,Vacant,0,,,,,,,,x
10247,962,Leisure Home Sales,LHS,LHS_10247,Other_10247,Other,Y,,No,Yes,"  2,350.00 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,  -   ,,,,,Manager House,,Vacant,0,,,,,,,x,x
10620,963,Leisure Home Sales,LHS,LHS_10620,Other_10620,Other,Y,,No,No,"  4,500.00 ",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  500.00 ,  -   ,  -   ,  500.00 ,,,,x
